Timestamp,Open,High,Low,Close,Adj Close,Volume
1/1/2019,5200,5200,5200,5200,4606.877441,0
1/2/2019,5200,5245,5200,5240,4642.314941,35956000
1/3/2019,5200,5220,5115,5180,4589.158203,72358000
1/4/2019,5175,5205,5125,5205,4611.307617,51465000
1/7/2019,5265,5325,5245,5245,4646.745117,73438000
1/8/2019,5230,5320,5205,5240,4642.314941,66247500
1/9/2019,5300,5320,5225,5255,4655.604004,84871000
1/10/2019,5300,5300,5190,5255,4655.604004,114314500
1/11/2019,5280,5300,5235,5250,4651.174316,84826500
1/14/2019,5220,5235,5150,5200,4606.877441,87547500
1/15/2019,5230,5260,5190,5260,4660.033691,87763000
1/16/2019,5260,5285,5245,5285,4682.182129,94972500
1/17/2019,5290,5330,5285,5330,4722.049316,91654000
1/18/2019,5340,5425,5315,5425,4806.212891,100873500
1/21/2019,5425,5600,5390,5545,4912.524902,87118000
1/22/2019,5600,5620,5450,5600,4961.251465,91907000
1/23/2019,5600,5600,5475,5500,4872.658691,98512500
1/24/2019,5430,5485,5355,5460,4837.221191,106781000
1/25/2019,5400,5520,5400,5500,4872.658691,68944000
1/28/2019,5515,5515,5475,5495,4868.228516,69704000
1/29/2019,5445,5550,5440,5540,4908.09668,77679000
1/30/2019,5560,5560,5495,5520,4890.376465,76285000
1/31/2019,5520,5640,5520,5635,4992.260254,135904500
2/1/2019,5680,5750,5560,5635,4992.260254,57719500
2/4/2019,5635,5635,5500,5500,4872.658691,113846500
2/5/2019,5500,5500,5500,5500,4872.658691,0
2/6/2019,5500,5540,5495,5535,4903.666016,121996500
2/7/2019,5535,5535,5505,5530,4899.236328,63697500
2/8/2019,5530,5535,5500,5520,4890.376465,65268500
2/11/2019,5520,5530,5460,5495,4868.228516,37639000
2/12/2019,5530,5530,5450,5460,4837.221191,95883500
2/13/2019,5460,5490,5410,5420,4801.783691,103115500
2/14/2019,5405,5405,5380,5380,4766.345215,108738500
2/15/2019,5360,5410,5335,5360,4748.626953,81340000
2/18/2019,5410,5500,5410,5480,4854.939453,62991000
2/19/2019,5420,5480,5380,5380,4766.345215,64469000
2/20/2019,5450,5595,5440,5500,4872.658691,89583000
2/21/2019,5540,5560,5470,5505,4877.087891,54561500
2/22/2019,5475,5525,5460,5490,4863.798828,48271500
2/25/2019,5490,5500,5455,5490,4863.798828,47887000
2/26/2019,5500,5555,5495,5555,4921.384766,98446000
2/27/2019,5565,5570,5545,5565,4930.244141,78519500
2/28/2019,5570,5580,5510,5515,4885.947266,99366000
3/1/2019,5565,5600,5535,5540,4908.09668,72589500
3/4/2019,5520,5540,5515,5535,4903.666016,63910500
3/5/2019,5500,5505,5440,5495,4868.228516,46499500
3/6/2019,5555,5555,5490,5490,4863.798828,37777000
3/7/2019,5490,5490,5490,5490,4863.798828,0
3/8/2019,5545,5570,5440,5440,4819.501953,61126000
3/11/2019,5530,5530,5460,5505,4877.087891,32469000
3/12/2019,5540,5540,5450,5500,4872.658691,40178500
3/13/2019,5450,5505,5450,5500,4872.658691,17722000
3/14/2019,5450,5495,5450,5480,4854.939453,41096000
3/15/2019,5520,5545,5485,5540,4908.09668,41759500
3/18/2019,5555,5560,5535,5550,4916.956055,42791000
3/19/2019,5540,5545,5485,5490,4863.798828,51527000
3/20/2019,5540,5555,5465,5470,4846.080078,42388500
3/21/2019,5490,5520,5465,5475,4850.509766,39866000
3/22/2019,5465,5500,5465,5485,4859.369629,29601000
3/25/2019,5440,5500,5440,5455,4832.791504,23054500
3/26/2019,5480,5510,5455,5470,4846.080078,19895500
3/27/2019,5510,5510,5460,5485,4859.369629,17804500
3/28/2019,5460,5485,5425,5470,4846.080078,32187500
3/29/2019,5515,5530,5460,5510,4881.517578,36234000
4/1/2019,5550,5550,5480,5500,4872.658691,21786000
4/2/2019,5530,5570,5480,5500,4872.658691,36853000
4/3/2019,5500,5500,5500,5500,4872.658691,0
4/4/2019,5540,5560,5490,5540,4908.09668,48112000
4/5/2019,5560,5560,5525,5530,4899.236328,21913500
4/8/2019,5505,5540,5450,5480,4854.939453,39910000
