Timestamp,Open,High,Low,Close,Adj Close,Volume
12/31/2018,5200,5325,5115,5245,4646.744141,233217000
1/7/2019,5230,5320,5150,5200,4606.876953,437807000
1/14/2019,5230,5600,5190,5545,4912.525391,462381000
1/21/2019,5600,5620,5355,5495,4868.228516,435848500
1/28/2019,5445,5750,5440,5500,4872.658691,461434500
2/4/2019,5500,5540,5460,5495,4868.228516,288601500
2/11/2019,5530,5530,5335,5480,4854.939453,452068500
2/18/2019,5420,5595,5380,5490,4863.798828,304772000
2/25/2019,5500,5600,5495,5535,4903.666504,412831500
3/4/2019,5500,5570,5440,5505,4877.088379,177871500
3/11/2019,5540,5560,5450,5550,4916.955078,183547000
3/18/2019,5540,5555,5440,5455,4832.791504,186437000
3/25/2019,5480,5550,5425,5500,4872.658691,127907500
4/1/2019,5530,5570,5450,5480,4854.939453,146788500
4/8/2019,5535,5570,5460,5505,4877.088379,161040500
4/15/2019,5495,5805,5475,5625,4983.400879,263187000
4/22/2019,5680,5710,5525,5685,5036.557129,288796500
4/29/2019,5670,5810,5595,5620,5024.485352,283381000
5/6/2019,5675,5710,5595,5610,5015.54541,384726500
5/13/2019,5560,5630,5140,5380,4809.916504,403776000
5/20/2019,5470,5700,5340,5685,5082.598633,296782000
5/27/2019,5655,5895,5655,5820,5203.293457,439842500
6/3/2019,5820,6190,5810,5880,5256.935547,179238000
6/10/2019,5900,5960,5790,5795,5180.941895,361803500
6/17/2019,5795,5960,5795,5875,5252.465332,379470000
6/24/2019,5930,6025,5805,5990,5355.279785,314952500
7/1/2019,5990,6020,5865,5880,5256.935547,191511500
7/8/2019,5870,6115,5870,6105,5458.09375,225495000
7/15/2019,6080,6290,6045,6290,5623.490723,208475500
7/22/2019,6240,6290,6160,6190,5534.086914,264257500
7/29/2019,6205,6270,6000,6000,5364.21875,334496000
8/5/2019,5880,6120,5765,6040,5399.980957,434517000
8/12/2019,6000,6060,5860,6015,5377.630371,299350000
8/19/2019,6035,6035,5860,5990,5355.279785,254681000
8/26/2019,6040,6100,5950,6000,5364.21875,347072500
9/2/2019,6000,6085,5980,6035,5395.51123,218634000
9/9/2019,6020,6105,5985,6005,5368.69043,231277000
9/16/2019,5990,6050,5985,6025,5386.569824,363357500
9/23/2019,5980,6075,5780,6070,5426.801758,399598500
9/30/2019,6010,6080,5950,6070,5426.801758,256298500
10/7/2019,6080,6200,6015,6200,5543.027344,232678500
10/14/2019,6190,6255,6105,6220,5560.907227,253358000
10/21/2019,6270,6325,6175,6205,5547.49707,307758500
10/28/2019,6205,6380,6150,6275,5610.080078,284895000
11/4/2019,6350,6380,6250,6295,5627.959961,351774000
11/11/2019,6220,6290,6210,6280,5614.549316,238318000
11/18/2019,6330,6350,6255,6275,5610.080078,272036500
11/25/2019,6330,6425,6225,6425,5744.185547,398728500
12/2/2019,6420,6420,6320,6395,5717.364258,256131000
12/9/2019,6395,6420,6340,6360,5704.066406,334828000
12/16/2019,6395,6800,6365,6660,5973.125488,504901000
12/23/2019,6660,6725,6660,6685,5995.54834,129301500
12/30/2019,6685,6800,6680,6735,6040.391113,124500500
1/6/2020,6735,6825,6670,6745,6049.360352,280295500
1/13/2020,6745,7060,6740,6835,6130.077637,389941000
1/20/2020,6885,6940,6810,6840,6134.562988,395356500
1/27/2020,6835,6845,6370,6440,5775.816406,511359500
2/3/2020,6570,6785,6520,6785,6085.234863,540200000
2/10/2020,6785,6820,6675,6720,6026.937988,459582500
2/17/2020,6685,6760,6510,6525,5852.049316,492926000
2/24/2020,6550,6560,6035,6080,5452.943848,623343500
3/2/2020,6200,6540,5785,5785,5188.368652,493996500
3/9/2020,5840,6010,5460,5560,4986.574219,356717000
3/16/2020,5495,5505,4325,4430,3973.115723,1209648000
3/23/2020,4450,5895,4450,5495,4928.27832,1015251500
3/30/2020,5660,5750,5360,5735,5143.525879,660783500
4/6/2020,5735,6100,5480,5500,4932.762207,403305000
4/13/2020,5505,5630,5185,5355,4802.716797,619808000
4/20/2020,5355,5355,4855,4960,4448.455078,568367000
4/27/2020,4960,5300,4800,5220,4762.572266,590227500
5/4/2020,5220,5400,5150,5295,4831.000977,368682500
5/11/2020,5340,5340,4680,4765,4347.443848,690688500
5/18/2020,4840,4960,4680,4765,4347.443848,247662500
5/25/2020,4775,5320,4775,5190,4735.201172,956477000
6/1/2020,5260,5990,5240,5900,5382.983887,958916500
6/8/2020,5940,5995,5480,5500,5018.035645,497568500
6/15/2020,5580,5800,5530,5540,5054.53125,401012000
6/22/2020,5570,5760,5520,5675,5177.700195,284966000
6/29/2020,5700,5935,5660,5935,5414.916504,334037500
7/6/2020,5940,6265,5900,6175,5633.885742,427386000
7/13/2020,6175,6240,6040,6140,5601.953125,306747500
7/20/2020,6100,6250,6000,6100,5565.458496,313250500
7/27/2020,6120,6240,5825,6130,5592.829102,333154000
8/3/2020,6155,6295,6100,6120,5583.705566,265404000
8/10/2020,6140,6405,6130,6405,5843.731445,180304500
8/17/2020,6405,6425,6280,6315,5761.617676,207239500
8/24/2020,6320,6600,6275,6275,5725.123047,309844500
8/31/2020,6280,6560,6200,6285,5734.246582,346582500
9/7/2020,6285,6360,5620,6050,5519.839355,805816500
9/14/2020,6040,6100,5570,5605,5113.834473,896803500
9/21/2020,5520,5695,5390,5515,5031.72168,546805000
9/28/2020,5575,5635,5420,5520,5036.282715,407187500
10/5/2020,5630,5875,5580,5855,5341.927246,446446500
10/12/2020,5840,5900,5710,5900,5382.983887,359358000
10/19/2020,5880,5880,5705,5815,5305.432617,386592500
10/26/2020,5815,5830,5720,5820,5309.994629,240488500
11/2/2020,5840,6400,5785,6285,5734.246582,537911000
11/9/2020,6395,6600,6320,6480,5912.158203,542819000
11/16/2020,6500,6650,6490,6600,6021.642578,510653500
11/23/2020,6600,6600,6135,6205,5661.256836,787282000
